upstream_length,downstream_length,mse,r2
69,33,1.079091173238085,0.5457074258248877
92,20,1.077778095180837,0.5462602258342977
73,13,1.0777442115654658,0.5462744906853418
81,34,1.0776122803051253,0.5463300331578971
61,10,1.0768849795853759,0.5466362235191646
80,27,1.0755957301411208,0.5471789917887141
67,13,1.0747597177808248,0.5475309492660988
87,10,1.0735599445120096,0.548036048464604
89,24,1.0730676594733533,0.5482432982716503
65,15,1.072239828274039,0.5485918115167272
62,10,1.0705015191720373,0.5493236319006256
73,27,1.0702651798077392,0.5494231297195761
71,13,1.0700395314970663,0.5495181266526028
82,34,1.0672121659651308,0.5507084349393276
91,20,1.066759445593406,0.5508990281979447
76,20,1.0646885596586202,0.5517708619460735
72,13,1.0644273423916346,0.5518808332511689
70,13,1.0643318602538407,0.5519210308055942
55,10,1.063348416296143,0.5523350563283485
54,13,1.063285311405099,0.552361623206205
55,18,1.0612979145662447,0.5531983084170768
64,25,1.0608488197156747,0.5533873753474474
29,25,1.0599128027321736,0.553781434325458
50,25,1.0599128027321736,0.553781434325458
13,25,1.0599128027321736,0.553781434325458
57,25,1.0599128027321736,0.553781434325458
36,25,1.0599128027321736,0.553781434325458
49,25,1.0599128027321736,0.553781434325458
15,25,1.0599128027321736,0.553781434325458
33,25,1.0599128027321736,0.553781434325458
9,25,1.0599128027321736,0.553781434325458
28,25,1.0599128027321736,0.553781434325458
